metric,exit_4pm,exit_2pm,exit_post_2pm_1st_bos,exit_post_2pm_2nd_bos,exit_unmanaged
avg_R,0.1,0.04,-0.02,0.09,0.09
avg_drawdown_R,0.45,0.5,0.55,0.46,0.46
avg_holding_hhmm,02:38,02:08,02:12,02:51,02:51
avg_holding_hhmm_losers,01:45,01:45,01:45,01:45,01:45
avg_holding_hhmm_winners,03:30,02:30,02:40,03:58,03:58
avg_holding_minutes,157.5,127.5,132.5,171.25,171.25
avg_holding_minutes_losers,105.0,105.0,105.0,105.0,105.0
avg_holding_minutes_winners,210.0,150.0,160.0,237.5,237.5
avg_loser_R,-1.0,-1.0,-1.0,-1.0,-1.0
avg_sl_minutes,111.67,111.67,132.5,111.67,111.67
avg_sl_size_pips,12.8,12.8,12.8,12.8,12.8
avg_sl_time_hhmm,01:52,01:52,02:12,01:52,01:52
avg_tp_minutes,,,,,
avg_tp_time_hhmm,,,,,
avg_winner_R,1.2,1.08,0.95,1.18,1.18
cumulative_R,0.4,0.16,-0.1,0.36,0.36
max_drawdown_R,1.0,1.0,1.0,1.0,1.0
max_loss_streak,1,1,1,1,1
max_win_streak,1,1,1,1,1
n_filled,4,4,4,4,4
n_setups,6,6,6,6,6
n_trades,4,4,4,4,4
tag_rate,0.67,0.67,0.67,0.67,0.67
win_rate,0.5,0.5,0.5,0.5,0.5
